	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
1810030n24rik	0	0	0	0	0	0	0	0	0	0	0	0	-0.902425723365	0	0	0.883545927702	0.869068272712	0.871754581577	0	0	0.911028933785	0	0	0	0	0	0	0
1810031k17rik	0	0	0	0	0	0	0	0	0	-0.949298920852	0.928197202623	0	0	0	0.930771581952	0	0.913525823435	0	0	0	0.980222911976	0	0	0	0	0	0	0
1810035l17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96503493493	0	0	0	0.872185079793	0	0	0	0	0	0	0
1810037i17rik	0	0	0	0	0	0	0	0.934030453444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.936388996676	-0.90439210093	-0.965868929137	0	0	0
1810043h04rik	0	0	0	0	0	0	0	0	-0.947605214309	0	0	0	0	-0.939204849349	0	0	0	0	0	-0.924291841893	0	0	-0.942933101213	0	-0.932220276237	-0.884025673025	-0.906840896458	0
1810046j19rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.951104012674	0	0	0	0	0	0.979138056473	0	0	0	0	0	0
1810049h13rik	0	0	0	0	0	0.904110827461	0.870036893697	0	0	0	0	-0.922954705148	0	0	0	0.91856695754	0	0	0	0	0	0	0	0	0	0	0	0
1810055g02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95162711189	0	0	0	0	0	0	0	0	0	0
1810058i24rik	0	0	-0.90226841316	0	0	0	0	0	-0.911229851185	0	0	0	0	0	0	0.886890898837	0	0	0	0	0	0	0	0	0	0	0	0
1810063b05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.976103044053	0.951637830461	0	0	0	0	0	0	0	0	0.867875792655	0	0
1810063b07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.851353271141	0	0	0	0.895182294469	0	0	0.892117147174	0	-0.923515778214	0	0	0	-0.936048157897	0
2010002n04rik	0.994855546324	0.997726969422	0	0.993843875517	0	0	0	0.920921782779	0	0	0.966244634916	0.921197301637	0	0	0	0	0	0	0	-0.978191561881	0	0	0	0	0	0	0	0
2010007h12rik	0	0	0	0	0	0	0	0.884742712741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010012o05rik	0	0	0	0	0	0	-0.984363365599	0	0	0	0	0	0	0	0	0	0	0.97435952628	0	0	0.93923517687	0	0	-0.960300147872	-0.969429383449	0	0	0
2010016i18rik	0	0	0	0.916888014499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010106g01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868754009015	0	0	0	0	0	0	0	0	0	0	0
2010107e04rik	0	0	0	0	0	0	0	0	0	0	0	-0.959833460929	0	0	0	0.940122003194	0	0	0	0	0	0	0	0	0	0	0	0
2010107h07rik	0	0	0	0	0	0	0	0.931477599025	0	0	0	0	0	0	-0.91159690833	0	0	0	0	0	0	0	0	0	0	0	0	0
2010109k11rik	0.98248733259	0.976292463268	0	0	0	0	0	0.950475485279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.881241282393
2010111i01rik	-0.913699621407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900800296183	0	0	0	0	0	0	0	0	0
2010204k13rik	0	0	0	0	0	0	0	0.869416976267	0	0	0	0	0	0	0	0.905565911429	0.902259685134	0.876016513912	0	0	0	0	0	0	0	0	0	0
2010305a19rik	0	0	0	0	0	-0.884392730171	0	0	-0.908859710759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.916919236941	0	0	0
2010317e24rik	0	0	0	0	0	0	0	0.918424893129	0	0	0	0	0	0	0.863338341463	0	0	0	0	0	0.941495292502	0	0	0	0	0	0.929045284107	0
2010320m18rik	0	0	0	0	0	0	0	0	0	-0.925838725578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
