Hybridization REF_at	Iron01	Iron02	Iron03	Iron04	Iron05	Iron06	Iron07	Iron08	Iron09	Iron10	Iron11	Iron12	Iron13	Iron14	Iron15	Iron16	Iron17	Iron18	Iron19	Iron20	Iron21	Iron22	Iron23	Iron24
Composite Element REF_at	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2
GBAA1664_at	10.06667463	9.957854836	10.2582834	10.4135719	10.15822118	10.18335056	10.10328139	9.970615993	9.579112443	9.387659229	9.282093992	9.389315714	9.558631278	9.808635627	9.475166335	9.436582297	9.075015133	9.105101968	9.629543407	9.260466848	9.01535168	8.992289857	9.291067054	9.179363536
GBAA1665_at	10.47019524	10.25051686	10.20123488	10.26790114	10.47867544	10.32212878	10.18622459	10.25519992	9.99110863	9.694800741	9.792428649	9.824390788	9.994297284	9.917518744	9.819428939	9.872859545	9.421904124	9.68188454	9.662605701	10.06061644	9.542426928	9.876822079	9.110381408	8.969106228
GBAA1666_at	10.22153419	10.04865149	10.04557721	10.10820884	10.24076569	10.10264541	10.01993365	10.05524855	9.918946421	9.513019047	9.570102494	9.739776034	9.833282357	9.828601856	9.698258326	9.668737407	9.414111523	9.616393318	9.76247089	9.98922901	9.684170379	10.13877457	9.120146888	9.004457303
GBAA1667_at	9.56472933	9.409121275	9.948467698	10.11317318	9.893783755	9.8206432	9.740207308	9.580867684	8.850905261	8.163757192	8.106620432	8.710564578	8.829227297	8.89938158	8.762236717	8.646149379	8.165417152	8.45809705	8.827601564	9.224293144	8.4498464	8.949431834	8.353374158	8.49259274
GBAA1668_at	9.366105225	9.067868581	9.903718352	10.07050015	9.785783569	9.679717716	9.574591726	9.529397937	8.103664884	6.953999613	7.468899399	8.021503076	8.081007877	8.360735567	8.060085498	8.000605444	6.50663599	7.011234294	7.540866243	7.606358041	7.108412409	8.165356126	7.678694775	7.508769359
GBAA1669_at	10.78755183	10.62688681	11.39264119	11.53026909	11.30533446	11.2172007	11.18333085	11.10740974	9.869025527	9.39810655	9.591921704	9.915723732	9.902296294	10.24691709	9.984457175	9.980264334	9.042950806	9.429527153	9.750519119	9.756784835	9.587087984	10.21204305	10.14966124	9.909890702
GBAA1670_at	10.43436522	10.21588297	10.99187787	11.18224261	10.8469722	10.7771474	10.73643865	10.67699555	9.394200563	9.058448845	9.11121078	9.421516482	9.431600952	9.858937889	9.485275914	9.506474969	8.658615911	8.985090725	9.48705985	9.297078566	9.06809517	9.695498973	9.91138981	9.821291596
GBAA1671_at	11.26076405	11.02798825	11.8157145	11.88748495	11.63005562	11.55963977	11.57814854	11.48940974	10.28436721	9.997011786	10.14695695	10.39017727	10.35348667	10.69294222	10.45640299	10.39086072	9.492230057	9.87386197	10.39112926	10.21095128	9.948465348	10.49573795	10.88895667	10.71173465
GBAA1672_at	10.63772506	10.43397785	11.07798482	11.20354216	11.01231648	10.87135915	10.90957862	10.80999841	9.735153738	9.38908182	9.519967808	9.733477362	9.722298288	10.046401	9.770284415	9.737327342	8.999381239	9.188217028	9.468926995	9.541468805	9.453096747	9.868018876	10.18697607	10.1592372
GBAA1673_at	10.94768441	10.74992863	11.43485771	11.57800151	11.36979275	11.38466531	11.33111785	11.10856909	9.988544311	9.856644228	9.904376712	10.21278369	10.1912888	10.38288189	10.20859395	10.23659861	9.355434814	9.629131862	9.832804056	9.975967452	9.79111895	10.3362507	10.70363688	10.45021364
GBAA1674_at	10.69989971	10.60778679	10.59704954	10.75846892	11.00886562	10.91437595	10.55736696	10.3341087	9.616103467	9.238686793	9.035777794	9.493467896	10.07125377	10.11073473	9.787213224	9.611909855	8.846692346	9.64845085	9.273826071	8.786474688	9.813683077	10.55674892	8.885963197	8.613197296
GBAA1675_at	11.53135221	11.4893538	11.63092928	11.78131375	11.85203849	11.82982017	11.56776678	11.30792637	10.42704147	10.21210251	9.95435976	10.33963137	10.95940641	11.00602174	10.61258313	10.53616373	9.56749301	10.48627166	9.903849607	9.599548079	10.51342027	11.21027415	9.897637671	9.518609076
GBAA1676_at	10.06650845	9.953501201	10.14620611	10.31333089	10.38790599	10.32890965	10.04650577	9.75785662	8.792338016	8.393974433	8.131907005	8.488856305	9.192069283	9.367142894	8.911265148	8.707332306	7.82252667	8.794582596	8.18542857	7.657188017	8.805133752	9.593220253	8.23356356	8.097456575
GBAA1677_at	10.73701671	10.61255107	10.94550157	11.03353542	11.12677017	11.05034147	10.81722338	10.54509275	9.56727176	9.415111887	9.246665255	9.400168625	10.03013665	10.23705165	9.7748306	9.666992613	8.681497932	9.669775315	9.227209415	8.641566788	9.645301779	10.30166269	9.486960905	9.399113671
GBAA1679_at	10.46712603	10.35176761	10.57306508	10.64599133	10.81860978	10.71366875	10.52146371	10.16822521	9.46630132	9.178531592	8.991920477	9.14270836	9.694912279	9.892544427	9.489182792	9.327126136	8.51648291	9.42623872	8.928978596	8.443119767	9.447054019	10.11175865	9.291224835	9.218164871
GBAA1680_at	9.57362194	9.517110373	9.680265194	9.754417917	9.936670456	9.98081856	9.669149686	9.281894891	8.506482355	8.31057786	7.94644525	8.144021446	8.92300995	9.12451723	8.733945202	8.60017317	7.697670324	8.66607935	7.841650713	7.434563568	8.760197844	9.474217903	8.408608486	8.150511655
GBAA1681_at	9.623311373	9.59179369	9.737615888	9.777031469	9.93612753	9.998802722	9.74025631	9.303726903	8.492643191	8.483210522	8.274223071	8.34899622	8.947176773	9.146365794	8.845760161	8.734959391	7.945349248	8.746549393	8.159246717	7.736215353	8.737416958	9.322287467	8.828171135	8.698584247
